"schema"	"metadatablock_id"	"name"	"title"	"parent"	"description"	"watermark"	"fieldType"	"displayOrder"	"displayFormat"	"advancedSearchField"	"allowControlledVocabulary"	"allowmultiples"	"facetable"	"displayoncreate"	"required"	"termURI"
"Dataverse v4.x"	"citation"	"datasetContactName"	"Contato: Nome"	"datasetContact"	"O(s) contato(s) para este conjunto de dados: Sobrenome e nome próprio (separados por vírgula) do contato ou o nome da organização."	"Sobrenome, Nome ou Organização"	"text"	"13"	"#VALUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"datasetContactAffiliation"	"Contato: Afiliação"	"datasetContact"	"O(s) contato(s) para este conjunto de dados: A organização a qual o contato é afiliado."	""	"text"	"14"	"(#VALUE)"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"datasetContactEmail"	"Contato: E-mail"	"datasetContact"	"O(s) contato(s) para este conjunto de dados: O(s) endereço(s) de e-mail do(s) contato(s) para o conjunto de dados."	""	"email"	"15"	"#EMAIL"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"TRUE"	""
"Dataverse v4.x"	"citation"	"dsDescriptionValue"	"Descrição: Texto"	"dsDescription"	"Um resumo descrevendo a finalidade, a natureza e o escopo do conjunto de dados: Um resumo descrevendo a finalidade, a natureza e o escopo do conjunto de dados."	""	"textbox"	"17"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"TRUE"	""
"Dataverse v4.x"	"citation"	"dsDescriptionDate"	"Descrição: Data"	"dsDescription"	"Um resumo descrevendo a finalidade, a natureza e o escopo do conjunto de dados: Nos casos em que um conjunto de dados contém mais de uma descrição (por exemplo, uma pode ser fornecida pelo produtor dos dados e outra preparada pelo repositório de dados onde os dados são depositados), o atributo data é usado para distinguir entre as duas descrições."	"AAAA-MM-DD"	"date"	"18"	"(#VALUE)"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"subject"	"Assunto"	""	"Categorias de assunto específicas do domínio que são topicamente relevantes para o conjunto de dados."	""	"text"	"19"	""	"TRUE"	"TRUE"	"TRUE"	"TRUE"	"TRUE"	"TRUE"	"http://purl.org/dc/terms/subject"
"Dataverse v4.x"	"citation"	"keywordValue"	"Palavra-chave: Termo"	"keyword"	"Termos-chave que descrevem aspectos importantes do conjunto de dados: Termos-chave que descrevem aspectos importantes do conjunto de dados."	""	"text"	"21"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"TRUE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"keywordVocabulary"	"Palavra-chave: Vocabulário"	"keyword"	"Termos-chave que descrevem aspectos importantes do conjunto de dados: Para a especificação do vocabulário controlado por palavras-chave em uso, como LCSH, MeSH ou outros."	""	"text"	"22"	"(#VALUE)"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"keywordVocabularyURI"	"Palavra-chave: URL do Vocabulário"	"keyword"	"Termos-chave que descrevem aspectos importantes do conjunto de dados: A URL do vocabulário de palavras-chave aponta para a presença na web que descreve o vocabulário de palavras-chave, se apropriado."	"Digite a URL completa, começando com http://"	"url"	"23"	"<a href=\"#VALUE\" target=\"_blank\" rel=\"noopener\">#VALUE</a>"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"topicClassValue"	"Classificação de Tópicos: Termo"	"topicClassification"	"O campo de classificação indica o(s) tópico(s) e assunto(s) importante(s) abrangido(s) pelos dados: Termo de tópico ou assunto relevante para este conjunto de dados."	""	"text"	"25"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"topicClassVocab"	"Classificação de Tópicos: Vocabulário"	"topicClassification"	"O campo de classificação indica o(s) tópico(s) e assunto(s) importante(s) abrangido(s) pelos dados: Fornecido para especificação do vocabulário controlado em uso, por exemplo, LCSH, MeSH etc."	""	"text"	"26"	"(#VALUE)"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"topicClassVocabURI"	"Classificação de Tópicos: URL do Vocabulário"	"topicClassification"	"O campo de classificação indica o(s) tópico(s) e assunto(s) importante(s) abrangido(s) pelos dados: Especifica o local da URL para o vocabulário controlado completo."	"Digite a URL completa, começando com http://"	"url"	"27"	"<a href=\"#VALUE\" target=\"_blank\" rel=\"noopener\">#VALUE</a>"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"publicationCitation"	"Publicação Relacionada: Citação"	"publication"	"Publicações que usam os dados deste conjunto de dados: A citação bibliográfica completa para esta publicação relacionada."	""	"textbox"	"29"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"http://purl.org/dc/terms/bibliographicCitation"
"Dataverse v4.x"	"citation"	"publicationIDType"	"Publicação Relacionada: Tipo de ID"	"publication"	"Publicações que usam os dados deste conjunto de dados: O tipo de identificador digital usado para esta publicação (por exemplo, Digital Object Identifier (DOI))."	""	"text"	"30"	"#VALUE: "	"TRUE"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"http://purl.org/spar/datacite/ResourceIdentifierScheme"
"Dataverse v4.x"	"citation"	"publicationIDNumber"	"Publicação Relacionada: Número de ID"	"publication"	"Publicações que usam os dados deste conjunto de dados: O identificador para o tipo de ID selecionado."	""	"text"	"31"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"http://purl.org/spar/datacite/ResourceIdentifier"
"Dataverse v4.x"	"citation"	"publicationURL"	"Publicação Relacionada: URL"	"publication"	"Publicações que usam os dados deste conjunto de dados: Link para a página da web da publicação (por exemplo, página de artigo de periódico, página de registro de arquivo ou outro)."	"Digite a URL completa, começando com http://"	"url"	"32"	"<a href=\"#VALUE\" target=\"_blank\" rel=\"noopener\">#VALUE</a>"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"https://schema.org/distribution"
"Dataverse v4.x"	"citation"	"notesText"	"Notas"	""	"Informações adicionais importantes sobre o conjunto de dados."	""	"textbox"	"33"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"language"	"Idioma"	""	"Idioma do conjunto de dados."	""	"text"	"34"	""	"TRUE"	"TRUE"	"TRUE"	"TRUE"	"FALSE"	"FALSE"	"http://purl.org/dc/terms/language"
"Dataverse v4.x"	"citation"	"producerName"	"Produtor: Nome"	"producer"	"Pessoa ou organização com responsabilidade financeira ou administrativa sobre este conjunto de dados: Nome do produtor."	"Sobrenome, Nome ou Organização"	"text"	"36"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"producerAffiliation"	"Produtor: Afiliação"	"producer"	"Pessoa ou organização com responsabilidade financeira ou administrativa sobre este conjunto de dados: A organização a qual o produtor é afiliado."	""	"text"	"37"	"(#VALUE)"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"producerAbbreviation"	"Produtor: Abreviação"	"producer"	"Pessoa ou organização com responsabilidade financeira ou administrativa sobre este conjunto de dados: A abreviatura pela qual o produtor é comumente conhecido (por exemplo, IQSS, ICPSR)."	""	"text"	"38"	"(#VALUE)"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"producerURL"	"Produtor: URL"	"producer"	"Pessoa ou organização com responsabilidade financeira ou administrativa sobre este conjunto de dados: URL do produtor apontando para sua presença na web, se apropriado."	"Digite a URL completa, começando com http://"	"url"	"39"	"<a href=\"#VALUE\" target=\"_blank\" rel=\"noopener\">#VALUE</a>"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"producerLogoURL"	"Produtor: URL do Logotipo"	"producer"	"Pessoa ou organização com responsabilidade financeira ou administrativa sobre este conjunto de dados: URL para o logotipo do produtor, que aponta para a imagem do logotipo desse produtor acessível na web."	"Digite a URL completa da imagem, começando com http://"	"url"	"40"	"<img src=\"#VALUE\" alt=\"#NAME\" class=\"metadata-logo\"/><br/>"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"productionDate"	"Data de Produção"	""	"Data em que a coleta dos dados ocorreu ou outros materiais foram produzidos (não distribuídos, publicados ou arquivados)."	"AAAA-MM-DD"	"date"	"41"	""	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"productionPlace"	"Local de Produção"	""	"O local onde a coleta de dados ocorreu e quaisquer outros materiais relacionados foram produzidos."	""	"text"	"42"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"contributorType"	"Colaborador: Tipo"	"contributor"	"A organização ou pessoa responsável por coletar, gerenciar ou contribuir de alguma forma para o desenvolvimento do recurso: Tipo de contribuinte do recurso."	""	"text"	"44"	"#VALUE "	"TRUE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"contributorName"	"Colaborador: Nome"	"contributor"	"A organização ou pessoa responsável por coletar, gerenciar ou contribuir de alguma forma para o desenvolvimento do recurso: O sobrenome e nome próprio (separados por vírgula) do contribuinte ou o nome da organização do contribuinte."	"Sobrenome, Nome ou Organização"	"text"	"45"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"grantNumberAgency"	"Informação sobre Fomento: Agência de Fomento"	"grantNumber"	"Informações de fomento: Número da agência de fomento."	""	"text"	"47"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"grantNumberValue"	"Informação sobre Fomento: Número do Fomento"	"grantNumber"	"Informações de fomento: O número da concessão ou do contrato do projeto que patrocinou o esforço."	""	"text"	"48"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"distributorName"	"Distribuidor: Nome"	"distributor"	"A organização designada pelo autor ou produtor para gerar cópias do trabalho em particular, incluindo quaisquer edições ou revisões necessárias: Nome do distribuidor."	"Sobrenome, Nome ou Organização"	"text"	"50"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"distributorAffiliation"	"Distribuidor: Afiliação"	"distributor"	"A organização designada pelo autor ou produtor para gerar cópias do trabalho em particular, incluindo quaisquer edições ou revisões necessárias: Organização com a qual o contato do distribuidor é afiliado."	""	"text"	"51"	"(#VALUE)"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"distributorAbbreviation"	"Distribuidor: Abreviação"	"distributor"	"A organização designada pelo autor ou produtor para gerar cópias do trabalho em particular, incluindo quaisquer edições ou revisões necessárias: Abreviatura pela qual este distribuidor é comumente conhecido (por exemplo, IQSS, ICPSR)."	""	"text"	"52"	"(#VALUE)"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"distributorURL"	"Distribuidor: URL"	"distributor"	"A organização designada pelo autor ou produtor para gerar cópias do trabalho em particular, incluindo quaisquer edições ou revisões necessárias: A URL do distribuidor aponta para a presença na Web do distribuidor, se apropriado."	"Digite a URL completa, começando com http://"	"url"	"53"	"<a href=\"#VALUE\" target=\"_blank\" rel=\"noopener\">#VALUE</a>"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"distributorLogoURL"	"Distribuidor: URL do Logotipo"	"distributor"	"A organização designada pelo autor ou produtor para gerar cópias do trabalho em particular, incluindo quaisquer edições ou revisões necessárias: URL do logotipo do distribuidor, que aponta para a imagem do logotipo acessível a este distribuidor."	"Digite a URL completa da imagem, começando com http://"	"url"	"54"	"<img src=\"#VALUE\" alt=\"#NAME\" class=\"metadata-logo\"/><br/>"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"distributionDate"	"Data de Distribuição"	""	"Data em que o trabalho foi disponibilizado para distribuição/apresentação."	"AAAA-MM-DD"	"date"	"55"	""	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"depositor"	"Depositante"	""	"Pessoa (sobrenome, nome próprio) ou organização que depositou este conjunto de dados no repositório."	""	"text"	"56"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"dateOfDeposit"	"Data do Depósito"	""	"Data em que o conjunto de dados foi depositado no repositório."	"AAAA-MM-DD"	"date"	"57"	""	"FALSE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"http://purl.org/dc/terms/dateSubmitted"
"Dataverse v4.x"	"citation"	"timePeriodCoveredStart"	"Período Coberto: Início"	"timePeriodCovered"	"Período de tempo ao qual os dados se referem: Data de início que reflete o período de tempo abrangido pelos dados, não as datas de codificação ou criação de documentos legíveis por máquina ou as datas em que os dados foram coletados."	"AAAA-MM-DD"	"date"	"59"	"#NAME: #VALUE "	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"timePeriodCoveredEnd"	"Período Coberto: Fim"	"timePeriodCovered"	"Período de tempo ao qual os dados se referem: Data final que reflete o período de tempo abrangido pelos dados, não as datas de codificação ou criação de documentos legíveis por máquina ou as datas em que os dados foram coletados."	"AAAA-MM-DD"	"date"	"60"	"#NAME: #VALUE "	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"dateOfCollectionStart"	"Data de Coleta: Início"	"dateOfCollection"	"Contém a(s) data(s) quando os dados foram coletados: Data em que a coleta de dados foi iniciada."	"AAAA-MM-DD"	"date"	"62"	"#NAME: #VALUE "	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"dateOfCollectionEnd"	"Data de Coleta: Fim"	"dateOfCollection"	"Contém a(s) data(s) quando os dados foram coletados: Data em que a coleta de dados terminou."	"AAAA-MM-DD"	"date"	"63"	"#NAME: #VALUE "	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"kindOfData"	"Tipo de Dados"	""	"Tipo de dados incluídos no arquivo: dados de pesquisa, dados de censo/enumeração, dados agregados, dados clínicos, dados de eventos/transações, código-fonte do programa, texto legível por máquina, dados de registros administrativos, dados experimentais, teste psicológico, textual dados, documentos codificados textuais, documentos codificados, diários de orçamento de tempo, dados/avaliações de observação, dados produzidos pelo processo ou outros."	""	"text"	"64"	""	"TRUE"	"FALSE"	"TRUE"	"TRUE"	"FALSE"	"FALSE"	"http://rdf-vocabulary.ddialliance.org/discovery#kindOfData"
"Dataverse v4.x"	"citation"	"seriesName"	"Série: Nome"	"series"	"Informações sobre a série de conjuntos de dados: Nome da série de conjuntos de dados à qual o conjunto de dados pertence."	""	"text"	"66"	"#VALUE"	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"seriesInformation"	"Série: Informação"	"series"	"Informações sobre a série de conjuntos de dados: História da série e resumo das características que se aplicam à série como um todo."	""	"textbox"	"67"	"#VALUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"softwareName"	"Software: Nome"	"software"	"Informações sobre o software usado para gerar o conjunto de dados: Nome do software usado para gerar o conjunto de dados."	""	"text"	"69"	"#VALUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"softwareVersion"	"Software: Versão"	"software"	"Informações sobre o software usado para gerar o conjunto de dados: Versão do software usado para gerar o conjunto de dados."	""	"text"	"70"	"#NAME: #VALUE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"relatedMaterial"	"Material Relacionado"	""	"Qualquer material relacionado a este conjunto de dados."	""	"textbox"	"71"	""	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"relatedDatasets"	"Conjuntos de Dados Relacionados"	""	"Quaisquer conjuntos de dados relacionados a este conjunto de dados, como pesquisas anteriores sobre esse assunto."	""	"textbox"	"72"	""	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"http://purl.org/dc/terms/relation"
"Dataverse v4.x"	"citation"	"otherReferences"	"Outras Referências"	""	"Quaisquer referências que sirvam como pano de fundo ou material de apoio a este conjunto de dados."	""	"text"	"73"	""	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"http://purl.org/dc/terms/references"
"Dataverse v4.x"	"citation"	"dataSources"	"Fontes de Dados"	""	"Lista de livros, artigos, publicações em série ou arquivos de dados legíveis por máquina que serviram como fontes da coleta de dados."	""	"textbox"	"74"	""	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	"FALSE"	"https://www.w3.org/TR/prov-o/#wasDerivedFrom"
"Dataverse v4.x"	"citation"	"originOfSources"	"Origem das Fontes"	""	"Para materiais históricos, informações sobre a origem das fontes e as regras seguidas no estabelecimento das fontes devem ser especificadas."	""	"textbox"	"75"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"characteristicOfSources"	"Característica das Fontes Observadas"	""	"Avaliação de características e material de origem."	""	"textbox"	"76"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"citation"	"accessToSources"	"Documentação e Acesso às Fontes"	""	"Nível de documentação das fontes originais."	""	"textbox"	"77"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	""
"Dataverse v4.x"	"geospatial"	"country"	"Cobertura Geográfica: País / Nação"	"geographicCoverage"	"Informações sobre a cobertura geográfica dos dados: País ou nação de que trata o conjunto de dados."	""	"text"	"1"	"#VALUE, "	"TRUE"	"TRUE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	NA
"Dataverse v4.x"	"geospatial"	"state"	"Cobertura Geográfica: Estado / Província"	"geographicCoverage"	"Informações sobre a cobertura geográfica dos dados: Estado ou província em que o conjunto de dados se refere."	""	"text"	"2"	"#VALUE, "	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	NA
"Dataverse v4.x"	"geospatial"	"city"	"Cobertura Geográfica: Cidade"	"geographicCoverage"	"Informações sobre a cobertura geográfica dos dados: Nome da cidade em que o conjunto de dados é."	""	"text"	"3"	"#VALUE, "	"TRUE"	"FALSE"	"FALSE"	"TRUE"	"FALSE"	"FALSE"	NA
"Dataverse v4.x"	"geospatial"	"otherGeographicCoverage"	"Cobertura Geográfica: Outros"	"geographicCoverage"	"Informações sobre a cobertura geográfica dos dados: Outras informações sobre a cobertura geográfica dos dados."	""	"text"	"4"	"#VALUE, "	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	NA
"Dataverse v4.x"	"geospatial"	"geographicUnit"	"Unidade Geográfica"	""	"Nível mais baixo de agregação geográfica coberto pelo conjunto de dados, por exemplo, vila, condado, região."	""	"text"	"5"	""	"TRUE"	"FALSE"	"TRUE"	"TRUE"	"FALSE"	"FALSE"	NA
"Dataverse v4.x"	"geospatial"	"westLongitude"	"Caixa Delimitadora Geográfica: Longitude Oeste"	"geographicBoundingBox"	"A descrição geométrica fundamental para qualquer conjunto de dados que modela a geografia é a caixa delimitadora geográfica: Coordenada mais ocidental que delimita a extensão geográfica do conjunto de dados."	""	"text"	"7"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	NA
"Dataverse v4.x"	"geospatial"	"eastLongitude"	"Caixa Delimitadora Geográfica: Longitude Leste"	"geographicBoundingBox"	"A descrição geométrica fundamental para qualquer conjunto de dados que modela a geografia é a caixa delimitadora geográfica: Coordenada mais a leste que delimita a extensão geográfica do conjunto de dados."	""	"text"	"8"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	NA
"Dataverse v4.x"	"geospatial"	"northLongitude"	"Caixa Delimitadora Geográfica: Latitude Norte"	"geographicBoundingBox"	"A descrição geométrica fundamental para qualquer conjunto de dados que modela a geografia é a caixa delimitadora geográfica: Coordenada mais ao norte que delimita a extensão geográfica do conjunto de dados."	""	"text"	"9"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	NA
"Dataverse v4.x"	"geospatial"	"southLongitude"	"Caixa Delimitadora Geográfica: Latitude Sul"	"geographicBoundingBox"	"A descrição geométrica fundamental para qualquer conjunto de dados que modela a geografia é a caixa delimitadora geográfica: Coordenada mais a sul que delimita a extensão geográfica do conjunto de dados."	""	"text"	"10"	""	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	"FALSE"	NA
